,difficulty,bits,time(seconds),power(hashes/second),nonce
0,1,0,0.00002,0,0
1,2,1,0.00001,0,0
2,4,2,0.00001,254200,2
3,8,3,0.00001,820624,9
4,16,4,0.00002,1038194,25
5,32,5,0.00003,1086294,36
6,64,6,0.00001,0,0
7,128,7,0.00002,1079721,26
8,256,8,0.00003,1143901,33
9,512,9,0.00001,399457,2
10,1024,10,0.00115,1316371,1514
11,2048,11,0.00068,1253167,856
12,4096,12,0.00227,1290995,2933
13,8192,13,0.00164,1304515,2142
14,16384,14,0.00683,1310491,8955
15,32768,15,0.02493,1320999,32930
16,65536,16,0.21439,1330766,285299
17,131072,17,0.00782,1337573,10460
18,262144,18,0.00910,1316489,11980
19,524288,19,0.44533,1287114,573192
20,1048576,20,0.17369,1368660,237723
21,2097152,21,0.51513,1334507,687438
22,4194304,22,1.30879,1344118,1759164
23,8388608,23,10.77013,1319829,14214729
24,16777216,24,18.91723,1299681,24586379
25,33554432,25,6.50281,1317942,8570323
26,67108864,26,64.05730,1320088,84561291
27,134217728,27,7.81263,1312837,10256713
28,268435456,28,106.55701,1312959,139905000
29,536870912,29,46.77444,1315006,61508685
30,1073741824,30,453.51637,1302466,590689799
31,2147483648,31,1099.24569,1322329,1453565463
